,# of bumps,# of inflections,curvature,min i,max i,x min,x max,y min,y max,S,criticality
0,3,0,3.2552301276837627,38,31,3.6635616461296463,3.4657359027997265,-11.63916156151537,-10.54054927284726,1.038057788750829,1
1,0,0,1.4041207911241487,39,34,3.6888794541139363,3.5553480614894135,-11.066294553246234,-10.373147372686288,1.0394654384449873,1
2,0,0,-7.0821910809957105,6,0,1.9459101490553132,0.0,-10.131817630537638,-0.17374720023121815,1.0634268040573356,1
3,1,0,-8.379891281914224,22,0,3.1354942159291497,0.0,-10.842791438719283,-0.6655052440900014,1.0446067981898524,1
4,1,0,-13.070104585399791,36,36,3.6109179126442243,3.6109179126442243,-10.96443258747448,-10.96443258747448,1.0416718103932454,1
5,0,0,-5.943166307757191,20,0,3.044522437723423,0.0,-10.55087871125787,-0.472094216864751,1.0530321955617155,1
6,2,0,7.541324890568143,38,45,3.970291913552122,4.31748811353631,-7.363557488540323,-6.984409688749532,1.0527222524552844,2
7,0,0,-2.5364851691548167,13,0,2.6390573296152584,0.0,-10.414183167851386,-0.35458970533971573,1.050987094346354,1
8,0,0,-1.9790833523007085,2,0,1.0986122886681098,0.0,-6.6492435838301365,-0.031840605855658774,1.043968310939443,1
9,1,0,2.6626778826335182,55,55,4.02535169073515,4.02535169073515,-10.808899322512744,-10.808899322512744,1.0356464129270624,1
10,0,0,-2.3238445056354022,34,39,3.7612001156935624,3.9889840465642745,-7.252446622208148,-7.0563317432818575,1.0500240882172738,3
11,0,0,-6.166423666268744,5,0,1.791759469228055,0.0,-9.531698970787348,-0.12431264661882807,1.0583982755157715,1
12,1,0,-15.72146513366107,65,60,4.189654742026425,4.110873864173311,-11.090400664278606,-9.704106303158715,1.0339713230744945,2
13,2,0,-3.0655976469008492,37,39,3.6375861597263857,3.6888794541139363,-10.807300762899171,-9.70868847423106,1.0399222219452204,1
14,2,0,4.131049940026965,27,31,3.332204510175204,3.4657359027997265,-8.764187188951562,-9.611485049338764,1.041414130459146,1
15,0,0,1.562886591742141,39,44,3.970291913552122,4.204692619390966,-8.046669150917984,-7.535843527151994,1.0506231006857945,3
16,0,0,-2.3058504035557497,8,0,2.1972245773362196,0.0,-9.779906490764773,-0.19044498602002827,1.0553857696207174,1
17,1,0,-1.9217989972887135,27,21,3.332204510175204,3.091042453358316,-10.737873844788798,-9.639261556120688,1.047967152311993,1
18,1,0,5.138379024375711,38,49,3.912023005428146,4.442651256490317,-7.877512795160957,-6.723550411409682,1.0512164980453604,1
19,0,0,1.825971059531276,6,0,1.9459101490553132,0.0,-8.545391845774915,-0.2198435386135175,1.0580243681267307,1
20,0,0,-2.8389899456461305,12,0,2.5649493574615367,0.0,-9.248695325852646,-0.4924458646621505,1.0517831256047478,1
21,1,0,4.140081782799231,-1,-1,4.2626798770413155,4.2626798770413155,-12.380045430255038,-12.380045430255038,1.054346605662061,2
22,0,0,-1.8220425199058745,9,0,2.302585092994046,0.0,-10.243951810426879,-0.3176270239879932,1.0601099101374454,1
23,0,0,-5.347170176543304,6,0,1.9459101490553132,0.0,-8.874074780669023,-0.23531313475075066,1.0572608820210403,1
24,1,0,11.366833040939754,38,48,3.912023005428146,4.394449154672439,-8.292741840860831,-6.4082006381818095,1.0513388358113218,1
25,0,0,5.781902616815519,35,45,3.8066624897703196,4.2626798770413155,-7.846728526926438,-7.368692725983439,1.0509560700562013,3
26,0,0,2.510608815619697,4,0,1.6094379124341003,0.0,-9.185842740375783,-0.04249723722387817,1.0578140019507094,1
27,0,0,1.8909374961900363,43,45,4.204692619390966,4.30406509320417,-8.96324704650558,-8.646335335738863,1.0535702138298213,3
28,1,0,-4.011466593855061,35,40,3.58351893845611,3.713572066704308,-8.674270197615774,-8.828420877443033,1.0378105530537012,1
29,0,0,0.10578767547147228,18,0,2.9444389791664403,0.0,-10.446305907338292,-0.42055647526920875,1.053512235329581,1
30,2,0,6.250819990063941,47,22,4.31748811353631,3.1780538303479458,-11.739096429042444,-6.151847770642195,1.0469510332319407,1
31,0,0,0.9985694362548744,9,0,2.302585092994046,0.0,-9.781489395725279,-0.17351449475611988,1.0571428625847543,1
32,2,0,-2.453843527687467,52,49,3.970291913552122,3.912023005428146,-10.640196969721202,-9.947049789161257,1.0377820466170544,1
33,2,0,-0.057723917259245264,53,61,3.9889840465642745,4.127134385045092,-7.926115115759708,-8.523952116515328,1.03355468328562,2
34,2,0,12.253667725452056,36,51,3.8918202981106265,4.634728988229636,-11.284497918385478,-6.351463870312773,1.0542324819387257,1
35,1,0,29.10393945983368,34,53,3.828641396489095,4.852030263919617,-12.231738587997908,-6.890772325302521,1.0580332347539574,3
36,0,0,-1.5357341912406,7,0,2.0794415416798357,0.0,-9.969509348078125,-0.2369880682978174,1.0572608820210403,1
37,0,0,-4.723011388190228,13,0,2.6390573296152584,0.0,-10.462503160399518,-0.4382149077176862,1.0517831256047478,1
38,0,0,-7.206535865509143,8,0,2.1972245773362196,0.0,-10.219793524324475,-0.31156721744117266,1.0571428625847543,1
39,0,0,-3.7666633600945643,11,0,2.4849066497880004,0.0,-10.201738576337144,-0.32351755104890245,1.0626696762691261,1
40,0,0,-0.1250120263078511,49,32,4.418840607796598,3.6109179126442243,-10.909305868095034,-6.392966895813558,1.0476931186797307,3
41,0,0,7.813830169824265,52,52,4.624972813284271,4.624972813284271,-13.787822592948258,-13.787822592948258,1.0524404217453176,1
42,2,0,7.7511302430931766,31,43,3.6375861597263857,4.204692619390966,-7.452811229639607,-6.268543496393003,1.050260713788803,1
43,0,0,3.567402746649512,18,0,2.9444389791664403,0.0,-10.71263840885238,-0.3515677939459804,1.0494379687119313,1
44,0,0,-0.8381656341008338,4,0,1.6094379124341003,0.0,-8.601074675396939,-0.09110752907244167,1.0578140019507094,1
45,0,0,-6.652671868893847,6,0,1.9459101490553132,0.0,-9.984007069594924,-0.20099367052667,1.0572608820210403,1
46,0,0,-5.717813735480715,9,0,2.302585092994046,0.0,-10.314669620973522,-0.33089323720859054,1.0665336255275015,1
47,0,0,-9.660802765049707,37,48,3.871201010907891,4.406719247264253,-8.109028975240934,-6.317269506012879,1.051529371945424,1
48,0,0,-3.1529017478366916,5,0,1.791759469228055,0.0,-9.711115659888671,-0.15817898458331628,1.0583982755157715,1
49,0,0,-4.932959025232701,3,0,1.3862943611198906,0.0,-7.647905313137419,-0.0733468289349382,1.0547277708910445,1
50,0,0,-0.19046984048336238,30,43,3.5553480614894135,4.189654742026425,-7.026253984411731,-7.218625877059187,1.0511566830493493,2
51,2,0,13.442184844897705,65,59,4.189654742026425,4.0943445622221,-11.29404780180307,-10.600900621243124,1.0351261023764171,2
52,1,0,-2.3913235336100755,34,31,3.5553480614894135,3.4657359027997265,-10.95052580565819,-9.85191351699008,1.0409790703962498,1
53,0,0,3.215274058247634,34,43,3.7376696182833684,4.143134726391533,-7.061802532937985,-6.504200844374265,1.0494300398874388,1
54,0,0,11.91855903520443,41,53,4.189654742026425,4.820281565605037,-12.646117080334534,-7.028134595481665,1.0599680608027768,3
55,0,0,-6.654628865726303,36,47,3.8501476017100584,4.3694478524670215,-8.324840257408024,-6.670281909693454,1.0510091044702632,1
56,1,0,3.03422652488305,35,30,3.58351893845611,3.4339872044851463,-10.90802722863092,-10.214880048070974,1.0424737110778441,1
57,0,0,-1.5219383474423924,13,0,2.6390573296152584,0.0,-10.532549442567325,-0.3715555600894771,1.0580257281318828,1
58,0,0,7.041002394271527,40,27,4.110873864173311,3.4339872044851463,-8.434242164978622,-7.335629876310513,1.0558612422774425,3
59,0,0,6.895625672141939,3,0,1.3862943611198906,0.0,-7.832014180505469,-0.06122830929006079,1.0578140019507094,1
60,1,0,-0.8824766763827456,51,38,4.59511985013459,3.9512437185814275,-11.943665780155277,-6.750708929265066,1.0507886509405622,2
61,2,0,0.15763384962386504,29,28,3.4657359027997265,3.4339872044851463,-6.562315065378616,-6.3625188780613975,1.0476931186797307,3
62,2,0,-5.4570715527875215,62,58,4.143134726391533,4.07753744390572,-10.576457535657255,-9.883310355097311,1.034842743586573,2
63,0,0,0.24448212950524947,44,52,4.430816798843313,4.882801922586371,-8.822249690986796,-7.837581661667904,1.061939739739565,3
64,0,0,-4.454598296815626,3,0,1.3862943611198906,0.0,-8.062196394277024,-0.05358135408629796,1.0547277708910445,1
65,1,0,-4.8918073918589595,35,30,3.58351893845611,3.4339872044851463,-10.748711835976422,-9.362417474856532,1.040821868810941,1
66,2,0,6.046393924905525,57,48,4.060443010546419,3.8918202981106265,-10.710967378552104,-9.612355089883994,1.0359254609306174,1
67,0,0,11.596709549729978,39,37,3.6888794541139363,3.6375861597263857,-11.553481824212557,-10.860334643652612,1.03724424596258,1
68,0,0,-6.8973044408588295,5,0,1.791759469228055,0.0,-8.341052493697363,-0.1754045683998604,1.0583982755157715,1
69,3,0,-7.741533746459328,36,33,3.6109179126442243,3.5263605246161616,-10.733675585356872,-10.040528404796927,1.0408135915413115,1
70,1,0,-0.7529119728547523,34,37,3.7376696182833684,3.871201010907891,-12.29718539206027,-11.891720283952104,1.04875379518055,1
71,0,0,-2.802009036220236,21,0,3.091042453358316,0.0,-10.713928760318431,-0.3551071525210035,1.079736897351937,1
72,3,0,0.6218701616784789,-1,-1,3.9889840465642745,3.9889840465642745,-10.694373778997369,-10.694373778997369,1.0376616388985669,1
73,1,0,0.32047325154207545,32,35,3.6375861597263857,3.784189633918261,-6.582502864099147,-6.4169884256215735,1.0488461618257456,3
74,1,0,1.1483634840208339,30,33,3.4339872044851463,3.5263605246161616,-12.340179497546176,-11.64703231698623,1.0417778589600333,1
75,0,0,2.84563010652841,34,32,3.7612001156935624,3.6635616461296463,-7.006956725609168,-6.596807768188577,1.0501273938138695,2
76,2,0,-0.9845020166029552,44,53,4.430816798843313,4.9344739331306915,-9.827761366000068,-7.930641381114188,1.0604187094718494,3
77,0,0,-4.222683300982068,9,0,2.302585092994046,0.0,-10.513144422597048,-0.3015841079614049,1.0553857696207174,1
78,0,0,5.428714129957422,43,46,4.30406509320417,4.465908118654584,-7.953284011452794,-7.688897501604536,1.0577172587915604,2
79,1,0,-5.908731721756913,42,44,3.7612001156935624,3.8066624897703196,-10.60651080376628,-9.913363623206335,1.0374298021172423,1
80,0,0,-1.0811699817335758,3,0,1.3862943611198906,0.0,-8.312626025674962,-0.038779092890454864,1.0547277708910445,1
81,1,0,-10.61406731405684,43,43,3.784189633918261,3.784189633918261,-10.755559712083633,-10.755559712083633,1.037052750794736,1
82,0,0,-3.7421761425517697,10,10,2.3978952727983707,2.3978952727983707,-9.767868267494684,-9.767868267494684,1.050987094346354,1
83,1,0,-7.956469134945643,47,45,3.871201010907891,3.828641396489095,-10.648064268202436,-9.549451979534327,1.0370936751633313,1
84,1,0,4.004420602379108,25,0,3.295836866004329,0.0,-6.371995469990674,-0.7573968183536279,1.0482589013609864,3
85,0,0,-4.709987480036842,17,0,2.8903717578961645,0.0,-10.07858866006833,-0.46322772322313366,1.0482083310685177,1
86,1,0,-4.685613764315696,42,55,4.276666119016055,4.990432586778736,-11.816621179511438,-7.533034617650809,1.05970934033524,3
87,0,0,-1.0844634043568693,17,0,2.8903717578961645,0.0,-10.574337998097462,-0.5546241765932028,1.0488624608248256,1
88,1,0,-5.809170726507195,36,25,3.6109179126442243,3.258096538021482,-10.635134032246683,-6.997547872520298,1.0394026438017436,1
89,1,0,6.0094236047424925,-1,-1,4.330733340286331,4.330733340286331,-13.074060379550115,-13.074060379550115,1.0555421676582115,2
90,0,0,-0.1535836689593661,42,54,4.31748811353631,4.997212273764115,-9.657352934338768,-8.233814400046505,1.0619897826755447,3
91,2,0,-3.1335262739790646,42,39,3.7612001156935624,3.6888794541139363,-10.63106031411106,-9.937913133551115,1.0393083091612367,1
92,0,0,-3.026775175030334,8,0,2.1972245773362196,0.0,-11.268200705622414,-0.15967092080233014,1.0588588177239109,1
93,0,0,2.766456975457937,-1,-1,3.9889840465642745,3.9889840465642745,-12.35094440905506,-12.35094440905506,1.0498054522149003,1
94,1,0,10.610190637742884,37,54,4.02535169073515,4.962844630259907,-10.350502270660288,-7.763812926562344,1.0601283937428443,3
95,0,0,-1.9871434159666583,12,0,2.5649493574615367,0.0,-10.376767060228149,-0.2803477717860506,1.0517831256047478,1
96,0,0,-6.797513544329318,7,0,2.0794415416798357,0.0,-9.39532504618962,-0.2620817245984053,1.0563455657139549,1
97,1,0,0.33671800828954657,17,0,2.8903717578961645,0.0,-10.580403719985656,-0.5708908728062241,1.0487831707953292,1
98,0,0,-4.016675004789115,34,37,3.713572066704308,3.8501476017100584,-6.645188272875513,-6.3833474316076195,1.0480095027518048,3
99,0,0,3.5583416172760707,9,0,2.302585092994046,0.0,-10.443454415648254,-0.32292187025978675,1.0544318937270019,1
100,0,0,0.8978496904361583,5,0,1.791759469228055,0.0,-8.910923043305981,-0.12967471006911885,1.0583982755157715,1
101,1,0,-2.7721587637189455,13,0,2.6390573296152584,0.0,-10.449120317807525,-0.4500498953776662,1.0517831256047478,1
102,0,0,-4.779875760637464,10,0,2.3978952727983707,0.0,-9.675268643355135,-0.3973630852165294,1.0544318937270019,1
103,1,0,-15.883089145631148,32,24,3.4965075614664802,3.2188758248682006,-10.54970034590686,-8.940262433472759,1.0413689589658939,1
104,1,0,-7.887613945055465,23,0,3.1780538303479458,0.0,-10.814805942783725,-0.4962990693346212,1.045138342202585,1
105,0,0,-1.826265462924158,5,0,1.791759469228055,0.0,-8.72355674269043,-0.08858051561780914,1.0583982755157715,1
106,2,0,-1.3004100439574449,55,58,4.02535169073515,4.07753744390572,-10.587366919275157,-9.488754630607048,1.0360382860527704,2
107,1,0,4.392834670421044,12,0,2.5649493574615367,0.0,-10.350446429473651,-0.32429886420163584,1.0586225601224193,1
108,0,0,-6.659811870361572,10,0,2.3978952727983707,0.0,-10.29620508782179,-0.3593311162680282,1.0544318937270019,1
109,0,0,-0.6979917155605935,17,0,2.8903717578961645,0.0,-10.958687689565794,-0.4347042977178427,1.0502534070109277,1
110,1,0,-12.834329601944182,56,47,4.04305126783455,3.871201010907891,-11.030492915705455,-10.33734573514551,1.0364897177520744,1
111,1,0,-0.4025293768621748,24,0,3.2188758248682006,0.0,-10.701985248703899,-0.6352315459089759,1.047991912761409,1
112,0,0,-10.480430147496293,16,0,2.833213344056216,0.0,-9.649541092066872,-0.6351750533384319,1.0461968457062558,1
113,0,0,-5.872154838004243,13,0,2.6390573296152584,0.0,-10.632677324443003,-0.3801539317654259,1.0543774391325242,1
114,4,0,-5.948965130771107,60,59,4.110873864173311,4.0943445622221,-10.60472690299341,-9.5061146143253,1.0350194198836475,2
115,0,0,7.884681434726669,32,40,3.6375861597263857,4.02535169073515,-7.3276156655989775,-7.494669750262144,1.049205619175054,2
116,0,0,-3.830339214375364,11,0,2.4849066497880004,0.0,-9.732877151670184,-0.40844945365623403,1.0535076113875463,1
117,0,0,-11.189808609011333,11,0,2.4849066497880004,0.0,-9.969415732650235,-0.23239607298489387,1.0626696762691261,1
118,1,0,0.8065813810520694,29,29,3.4011973816621555,3.4011973816621555,-10.6505782625063,-10.6505782625063,1.0407582553223864,1
119,2,0,-20.032316555484044,36,52,3.8918202981106265,4.700480365792417,-9.720373110062813,-6.390211501517409,1.0544036284228393,1
120,0,0,0.044701895063990804,7,0,2.0794415416798357,0.0,-10.22248658949386,-0.24919316271376823,1.0588588177239109,1
121,2,0,1.9652628763595612,42,46,4.204692619390966,4.418840607796598,-8.10382809024391,-7.813875869257591,1.0558213550292037,2
122,0,0,-5.6688668035240966,28,0,3.367295829986474,0.0,-10.643804537572462,-0.7375208977343339,1.0423485376119903,1
123,1,0,13.303554920045432,41,54,4.248495242049359,4.955827057601261,-10.661878226416478,-7.306143218831081,1.0600880617638924,3
124,0,0,-8.025641484248572,6,0,1.9459101490553132,0.0,-9.593150789519541,-0.1651217169121123,1.0572608820210403,1
125,0,0,0.44021868562761607,10,0,2.3978952727983707,0.0,-10.219793524324475,-0.30873470629202804,1.0544318937270019,1
126,0,0,-2.6944440084206422,49,34,4.418840607796598,3.713572066704308,-11.886979022224295,-6.653200176813829,1.0480095027518048,3
127,0,0,-0.39312063395565033,7,0,2.0794415416798357,0.0,-9.913734868987678,-0.22952335623927006,1.0572608820210403,1
128,1,0,-2.9580928648195663,27,0,3.332204510175204,0.0,-10.64951177269684,-0.7207464129764437,1.047505541788395,1
129,0,0,-3.8147476071136635,13,0,2.6390573296152584,0.0,-9.962770097699853,-0.5513681975556632,1.0539791921474237,1
130,0,0,-2.270634974415561,12,0,2.5649493574615367,0.0,-9.393827915410107,-0.48135464094407016,1.0526234204883385,1
131,0,0,-2.7427265649299537,34,40,3.784189633918261,4.07753744390572,-7.135865049618449,-6.469868858124455,1.0504320863021213,1
132,1,0,8.686075825464728,34,49,3.7376696182833684,4.465908118654584,-7.833581096749949,-6.668277433583167,1.0517564279561777,3
133,0,0,1.8818689637955341,10,0,2.3978952727983707,0.0,-10.23670449643667,-0.2312923241786147,1.0583058604102764,1
134,0,0,-5.741653603287891,5,0,1.791759469228055,0.0,-9.559446746414963,-0.11387616198942342,1.0583982755157715,1
135,1,0,-1.4910251886702957,35,42,3.8066624897703196,4.143134726391533,-7.400189076414275,-7.394555258696019,1.0531334989585954,2
136,1,0,7.141890581672279,23,26,3.1780538303479458,3.295836866004329,-10.025395402769462,-9.109104670895306,1.0441732743506356,1
137,1,0,11.452158586989995,54,55,4.007333185232471,4.02535169073515,-9.0488562010487,-8.355709020488755,1.034873342733488,2
138,0,0,-7.844676183939533,21,0,3.091042453358316,0.0,-10.645591550044827,-0.6656986663062927,1.0470372506307184,1
139,0,0,2.2672627314129046,8,0,2.1972245773362196,0.0,-9.937164078895512,-0.2222375079433576,1.0563455657139549,1
